# name x y w h  l t r b  fill
window                 0 0 11 37  5 31 5 5  stretch
window.inactive        0 38 11 37  5 31 5 5  stretch
titlebar               0 76 11 31  5 0 5 0  stretch
titlebar.inactive      0 108 11 31  5 0 5 0  stretch
close                  0 140 20 20  0 0 0 0  none
minimize               0 161 16 16  0 0 0 0  none
maximize               0 178 20 20  0 0 0 0  none
view                   0 199 20 20  0 0 0 0  none
fit                    0 220 20 20  0 0 0 0  none
close.inactive         0 241 20 20  0 0 0 0  none
maximize.inactive      0 262 20 20  0 0 0 0  none
view.inactive          0 283 20 20  0 0 0 0  none
fit.inactive           0 304 20 20  0 0 0 0  none
button                 0 325 9 25  4 0 4 0  stretch
button.selected        0 351 9 25  4 0 4 0  stretch
button.disabled        0 377 9 25  4 0 4 0  stretch
button.default         0 403 9 25  4 0 4 0  stretch
button.default.pressed 0 429 9 25  4 0 4 0  stretch
textfield              0 455 9 9  4 4 4 4  stretch
textfield.focused      0 465 19 19  9 9 9 9  stretch
textfield.disabled     0 485 9 9  4 4 4 4  stretch
popup                  0 495 29 25  4 0 24 0  stretch
popup.disabled         0 521 29 25  4 0 24 0  stretch
combo                  0 547 29 25  4 0 24 0  stretch
combo.focused          0 573 37 31  9 0 27 0  stretch
combo.disabled         0 605 29 25  4 0 24 0  stretch
check                  0 631 21 21  0 0 0 0  none
check.selected         0 653 21 21  0 0 0 0  none
check.mixed            0 675 21 21  0 0 0 0  none
check.pressed          0 697 21 21  0 0 0 0  none
radio                  0 719 21 21  0 0 0 0  none
radio.selected         0 741 21 21  0 0 0 0  none
radio.pressed          0 763 21 21  0 0 0 0  none
vscroll.track          0 785 11 1  0 0 0 0  none
vscroll.thumb          0 787 9 9  0 4 0 4  stretch
vscroll.up             0 797 10 7  0 0 0 0  none
vscroll.down           0 805 10 7  0 0 0 0  none
hscroll.track          0 813 1 11  0 0 0 0  none
hscroll.thumb          0 825 9 9  4 0 4 0  stretch
hscroll.left           0 835 7 10  0 0 0 0  none
hscroll.right          0 846 7 10  0 0 0 0  none
slider.htrack          0 857 5 5  2 0 2 0  stretch
slider.vtrack          0 863 5 7  0 3 0 3  stretch
slider.knob            0 871 21 21  0 0 0 0  none
slider.knob.hi         0 893 21 21  0 0 0 0  none
slider.circular        0 915 30 30  0 0 0 0  none
slider.circular.knob   0 946 5 5  0 0 0 0  none
stepper.up             0 952 25 13  4 0 4 0  stretch
stepper.down           0 966 25 12  4 0 4 0  stretch
progress               0 979 3 20  1 0 1 0  stretch
progress.bar           0 1000 3 20  1 0 1 0  stretch
progress.indeterminate 0 1021 22 20  1 0 1 0  stretch
menu                   0 1042 15 15  7 7 7 7  stretch
menu.tick              0 1058 14 14  0 0 0 0  none
header                 0 1073 1 25  0 0 0 0  none
header.pressed         0 1099 1 25  0 0 0 0  none
alert.note             0 1125 53 46  0 0 0 0  none
alert.wait             0 1172 48 43  0 0 0 0  none
alert.stop             0 1216 53 46  0 0 0 0  none
